Fecha,Producto,Categoría,Municipio,Vendedor,Ventas,UnidadesVendidas
2021-11,Pan,Panadería,Zacatecas,Clauido,104,98
2021-05,Jugo de Naranja,Bebidas,Tlaltenango,Clauido,152,54
2021-10,Platano,Frutas,Guadalupe,Nora,169,57
2021-08,Pan,Panadería,Jerez,Ana,177,89
2021-12,Leche,Lácteos,Tlaltenango,Nora,67,58
2021-04,Leche,Lácteos,Guadalupe,Ana,67,96
2021-02,Manzana,Frutas,Fresnillo,Ana,113,38
2021-08,Jugo de Naranja,Bebidas,Jerez,Ana,72,66
2021-10,Manzana,Frutas,Tlaltenango,Clauido,55,52
2021-04,Manzana,Frutas,Guadalupe,Ana,188,58
2021-06,Jugo de Naranja,Bebidas,Fresnillo,Francisco,58,43
2021-06,Leche,Lácteos,Zacatecas,Clauido,196,98
2021-07,Platano,Frutas,Tlaltenango,Ana,111,89
2021-08,Jugo de Naranja,Bebidas,Fresnillo,Francisco,150,61
2021-04,Jugo de Naranja,Bebidas,Zacatecas,Ana,200,100
2021-11,Leche,Lácteos,Tlaltenango,Francisco,104,66
2021-11,Manzana,Frutas,Guadalupe,Héctor,155,34
2021-06,Platano,Frutas,Zacatecas,Nora,56,92
2021-02,Leche,Lácteos,Jerez,Ana,165,31
2021-09,Manzana,Frutas,Fresnillo,Clauido,80,22
2021-04,Manzana,Frutas,Fresnillo,Héctor,179,78
2021-11,Platano,Frutas,Fresnillo,Nora,64,63
2021-03,Manzana,Frutas,Jerez,Francisco,179,32
2021-12,Platano,Frutas,Guadalupe,Francisco,173,59
2021-04,Pan,Panadería,Zacatecas,Héctor,173,92
2021-04,Leche,Lácteos,Guadalupe,Nora,71,63
2021-01,Platano,Frutas,Zacatecas,Héctor,76,91
2021-01,Pan,Panadería,Zacatecas,Clauido,138,75
2021-09,Manzana,Frutas,Fresnillo,Francisco,155,80
2021-04,Pan,Panadería,Jerez,Héctor,110,65
2021-01,Pan,Panadería,Fresnillo,Nora,112,82
2021-06,Pan,Panadería,Tlaltenango,Nora,59,70
2021-03,Pan,Panadería,Zacatecas,Héctor,141,86
2021-04,Manzana,Frutas,Guadalupe,Ana,107,71
2021-10,Jugo de Naranja,Bebidas,Fresnillo,Ana,102,91
2021-01,Jugo de Naranja,Bebidas,Zacatecas,Clauido,171,83
2021-11,Pan,Panadería,Tlaltenango,Clauido,117,61
2021-07,Leche,Lácteos,Guadalupe,Héctor,158,65
2021-05,Pan,Panadería,Guadalupe,Nora,54,45
2021-06,Pan,Panadería,Tlaltenango,Francisco,107,39
2021-03,Platano,Frutas,Zacatecas,Ana,134,60
2021-12,Jugo de Naranja,Bebidas,Jerez,Héctor,191,32
2021-11,Leche,Lácteos,Jerez,Francisco,82,51
2021-02,Manzana,Frutas,Jerez,Héctor,114,97
2021-04,Pan,Panadería,Jerez,Francisco,148,53
2021-07,Pan,Panadería,Zacatecas,Nora,160,81
2021-08,Platano,Frutas,Fresnillo,Ana,56,23
2021-02,Leche,Lácteos,Jerez,Ana,186,26
2021-06,Jugo de Naranja,Bebidas,Jerez,Héctor,145,42
2021-01,Manzana,Frutas,Tlaltenango,Ana,123,95
2021-05,Pan,Panadería,Zacatecas,Francisco,110,53
2021-10,Manzana,Frutas,Zacatecas,Ana,110,97
2021-09,Leche,Lácteos,Zacatecas,Clauido,114,68
2021-03,Manzana,Frutas,Zacatecas,Héctor,174,45
2021-04,Pan,Panadería,Tlaltenango,Nora,121,91
2021-11,Pan,Panadería,Guadalupe,Francisco,89,38
2021-08,Jugo de Naranja,Bebidas,Tlaltenango,Clauido,194,24
2021-05,Manzana,Frutas,Tlaltenango,Héctor,178,62
